STA,X,Y,Z,lat_dms,lng_dms,h,MSL_TGM17
AKSN,-1482252.3667,5925273.07451,1831476.07556,16°47′52.195″,104°02′41.0794″,173.388,198.785
AMKO,-883144.29533,6010907.02663,1937627.28629,17°48′02.2944″,98°21′29.8946″,785.03,823.228
APKN,-1037945.16415,6165673.9906,1255828.58466,11°25′53.5218″,99°33′20.5975″,-2.456,26.253
ARNG,-941903.94327,6213713.6036,1084084.32552,09°51′05.922″,98°37′10.3577″,-4.112,23.934
ATRG,-1044225.20634,6238038.71627,820026.9928,07°26′11.511″,99°30′10.7922″,-9.57,9.333
AUPG,-944812.84213,6059318.74942,1748565.90895,16°00′58.1989″,98°51′45.382″,428.846,464.945
AUTT,-1130743.79761,5969730.39338,1934162.39346,17°46′10.6408″,100°43′31.7852″,143.211,177.15
AWLK,-956898.46878,6237553.73056,923074.17552,08°22′38.0384″,98°43′18.145″,-7.207,16.829
AYYA,-1134356.4462,6075002.9932,1572057.23827,14°21′51.5155″,100°34′36.3607″,-14.575,16.441
BDNG,-1394062.26381,5916172.58432,1926911.21456,17°42′02.9708″,103°15′32.6532″,147.844,177.497
BGKN,-1429610.46102,5884459.10576,1996199.61473,18°21′33.1576″,103°39′18.97″,131.81,161.664
BGSP,-1025844.62273,6171496.21386,1237207.94139,11°15′35.3786″,99°26′15.3142″,7.105,35.748
BKOK,-1164774.73767,5954584.54837,1961139.57737,18°01′29.9723″,101°04′04.2993″,402.386,435.563
BLAN,-1092605.79526,6093002.92597,1531704.72634,13°59′17.3194″,100°09′58.7101″,-17.908,13.854
BLMG,-1173899.76451,6106033.71004,1416075.36642,12°54′48.5601″,100°52′56.9033″,-12.487,15.88
BNMG,-1424892.38171,5903605.39258,1942688.81562,17°51′02.0207″,103°34′09.74″,134.659,164.232
BNNR,-1245302.58716,6020376.34867,1693509.55292,15°29′59.402″,101°41′12.1182″,186.656,216.405
BNPE,-1312990.66392,5935131.9592,1925599.18067,17°41′18.0625″,102°28′27.3591″,158.778,189.823
BNPG,-1490328.02052,5883321.52781,1954981.00434,17°58′02.267″,104°12′53.3354″,127.501,155.263
BNST,-1237503.61336,6218448.73403,691007.11917,06°15′41.1047″,101°15′18.4183″,46.81,56.479
BOBR,-1391662.86978,5971556.5906,1750910.60117,16°02′20.1518″,103°07′06.7776″,151.351,179.77
BOKO,-1166457.88223,5914134.51835,2079169.60414,19°08′56.3854″,101°09′26.5278″,709.961,742.545
BORI,-1351917.69258,6077445.22636,1380185.51318,12°34′50.9673″,102°32′28.1538″,11.015,32.597
BPLE,-1165298.12783,6090154.91569,1489142.34365,13°35′31.2862″,100°49′55.6381″,-18.412,10.799
BRAI,-1018998.55157,6075037.48809,1649079.85749,15°05′01.4243″,99°31′18.7972″,125.331,159.974
BTAK,-961971.45253,6023304.4276,1858216.16346,17°03′02.1902″,99°04′26.32″,93.439,130.826
BTHG,-1639450.25445,5947411.62755,1614110.07296,14°45′23.8624″,105°24′40.6199″,139.562,156.889
BTNG,-1218862.8794,6227967.19675,639033.02136,05°47′18.9661″,101°04′23.8155″,288.931,297.756
BUYI,-1321931.44069,6001461.39315,1702320.64139,15°34′57.3183″,102°25′19.4812″,143.887,172.984
CHAN,-1305191.19479,6086920.60146,1383367.96369,12°36′37.1071″,102°06′08.6982″,7.777,31.209
